Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bosnia and Herzegovina,BIH,..,..,3.0181128667772,4.26451015472412,2.83868424239217,3.89297008514404,4.04449987411499,3.01954088371123,4.13622999191284,2.97012986426524,3.24564826597779,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Botswana,BWA,5.73963022232056,..,8.39457941644674,8.73589296358928,7.80924443947392,7.9053860532971,8.3989966033446,8.05833660991541,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Brazil,BRA,..,3.94893002510071,6.24105978012085,6.314040184021,6.32047986984253,6.08851003646851,5.96346998214722,5.77150011062622,5.4969801902771,5.61922979354858,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,British Virgin Islands,VGB,..,..,4.70450019836426,3.25467711875258,2.45708990097046,2.42555999755859,2.50096988677979,2.70538997650146,3.0245532067775,2.48401999473572,3.1728401184082,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Brunei Darussalam,BRN,2.30816006660461,3.38460993766785,..,4.42539978027344,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bulgaria,BGR,4.45406007766724,..,..,..,4.07755994796753,4.05202007293701,4.21429014205933,4.48297023773193,4.7092399597168,4.50109004974365,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Burkina Faso,BFA,..,..,3.67008996009827,..,5.62846994400024,5.488609790802,5.45615632520251,5.21148277030166,5.24913346712028,5.29456753304241,5.32757840997187,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Burundi,BDI,3.35932993888855,2.64547991752625,6.37133979797363,4.69199991226196,4.76202011108398,5.07864999771118,5.34668445378401,5.32158506838731,4.87114173892375,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cabo Verde,CPV,..,..,4.80622005462646,4.75475978851318,4.59278011322021,4.78792270184537,4.16529989242554,7.09400702406662,6.15490303089284,4.7252554800722,4.3482854136693,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cambodia,KHM,..,1.64869999885559,..,..,..,1.60336995124817,2.13345387893978,2.2476462495972,1.96232691812756,1.95793279576416,2.1809128340295,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cameroon,CMR,3.28710007667542,1.70284998416901,2.65791988372803,2.56234002113342,3.05962991714477,3.03096008300781,3.0473994932468,3.10390139858492,2.8493076272306,2.65952378267367,2.83907623667935,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Canada,CAN,5.96922016143799,5.42331981658935,4.7393798828125,4.81642007827759,4.95996999740601,4.8889799118042,4.77293014526367,4.88794994354248,4.74860000610352,4.88021993637085,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cayman Islands,CYM,..,..,..,..,..,2.16376945997106,1.13670003414154,1.45542001724243,1.31253004074097,1.48894000053406,1.57024002075195,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Central African Republic,CAF,2.2441999912262,1.61265003681183,1.9102285875012,1.75408898250234,1.75365013911465,1.56587596817535,1.76792074637361,2.14468061163977,1.8725169173301,2.11509129476365,1.82995911310419,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Chad,TCD,..,2.64670991897583,2.34283149521162,2.38847586229946,2.45481991767883,2.25947501392013,2.37245795383591,2.73960390423748,2.8881299495697,2.6016118897064,3.20149725837724,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Chile,CHL,2.25015997886658,3.75707006454468,4.90390014648438,5.3664698600769,5.43278980255127,5.473060131073,5.62630987167358,5.62993001937866,4.99923992156982,4.89753007888794,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,4.00127983093262,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Colombia,COL,..,3.5112099647522,4.47038984298706,4.47721004486084,4.53551006317139,4.44910001754761,4.51069021224976,5.26166009902954,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Comoros,COM,..,..,2.5450599193573,..,..,..,..,2.37805076679617,2.27485390045927,2.43164424110924,2.34146896682989,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Congo, Dem. Rep.",COD,..,..,2.17043995857239,2.1186900138855,1.45494997501373,..,..,2.62263835311571,2.66048474102788,2.84466514463005,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Congo, Rep.",COG,..,..,3.13882994651794,4.87114096878621,4.17236995697021,2.77167010307312,3.24716413970868,4.22208879466149,3.31281536274069,2.72738253259215,3.34005209256916,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Costa Rica,CRI,..,4.66695022583008,6.87349987030029,6.89395999908447,7.06980991363525,6.76991987228394,6.73808002471924,6.62898015975952,6.24841976165771,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cote d'Ivoire,CIV,..,2.40031003952026,3.49412989616394,3.93593001365662,3.73654007911682,3.21164989471436,3.4130699634552,3.78674006462097,3.32718992233276,3.51197004318237,3.42617011070252,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Croatia,HRV,..,..,..,..,3.87207007408142,3.92432999610901,3.94555997848511,4.40854978561401,4.0916600227356,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cuba,CUB,..,7.70481014251709,8.9633578559392,9.01309318032688,8.44413540438793,8.02498461098619,9.04700486137163,11.5248184008093,9.3858620562531,8.44086351669284,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Curacao,CUW,..,..,5.95011209033324,6.23495389518939,5.91444785594951,5.93873270793721,5.81155632881729,7.11645238834347,6.18160236726664,6.08167033605813,5.30074159005788,5.44313725490196
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cyprus,CYP,3.33924007415771,4.98954010009766,6.30491018295288,6.11811017990112,5.69961977005005,..,5.16293001174927,5.56462001800537,5.08243989944458,4.73588991165161,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Czechia,CZE,..,3.61999011039734,5.71913003921509,5.50080013275146,3.75573992729187,4.21541023254395,4.46737003326416,4.62503004074097,4.65163993835449,4.30291986465454,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Denmark,DNK,..,8.09000015258789,..,7.71534013748169,7.3700098991394,7.32746982574463,7.27587985992432,7.38573980331421,6.95915985107422,6.35586977005005,..,..
